#{"t_start": 1701485186.316896, "env_id": "ACAI-v0"}
r,l,t
200.0,35,16.859383
290.0,38,34.06293
104.0,27,49.011437
87.0,24,63.342949
129.0,32,79.32211
87.0,26,94.06536
161.0,39,111.435664
91.0,24,125.802467
431.0,49,145.276194
208.0,36,162.085385
59.0,20,175.638177
83.0,21,189.384605
209.0,39,206.792138
81.0,24,221.131847
93.0,24,235.488855
109.0,26,250.259737
308.0,42,268.25894
99.0,24,282.603102
58.0,17,295.553263
256.0,42,313.587612
71.0,22,327.513961
59.0,24,341.865801
86.0,24,356.241157
164.0,35,372.820006
471.0,54,393.220412
139.0,27,408.207627
260.0,43,426.382629
270.0,38,443.563253
153.0,32,459.529191
163.0,31,475.288594
294.0,44,493.734114
68.0,23,507.861155
259.0,41,525.675525
194.0,38,542.879834
109.0,25,557.445157
48.0,19,570.789161
134.0,31,586.556184
43.0,16,599.292213
403.0,47,618.295594
93.0,23,632.507161
193.0,37,649.538705
87.0,27,664.473651
164.0,33,680.653649
105.0,32,696.610753
60.0,25,711.207946
33.0,15,723.738726
139.0,28,738.919089
271.0,40,756.479105
61.0,19,769.829763
53.0,17,782.743859
57.0,20,796.300418
61.0,23,810.410801
164.0,31,826.178974
163.0,34,842.613619
109.0,24,856.956336
115.0,25,871.536407
112.0,26,886.30707
176.0,32,902.26562
76.0,20,915.788807
124.0,29,931.135214
169.0,37,948.151515
73.0,20,961.672014
95.0,25,976.235137
95.0,21,989.958247
77.0,23,1004.084441
52.0,16,1016.847984
164.0,34,1033.228436
70.0,22,1047.171321
254.0,43,1065.458719
335.0,47,1084.455647
1090.0,84,1111.000062
104.0,27,1125.945844
99.0,27,1140.903129
105.0,25,1155.472144
369.0,44,1173.888088
260.0,43,1192.098241
107.0,31,1207.893989
81.0,28,1223.093335
153.0,33,1239.285317
748.0,69,1262.828788
93.0,29,1278.228543
159.0,33,1294.388892
59.0,24,1308.747725
64.0,21,1322.501479
70.0,21,1336.235833
89.0,24,1350.573486
36.0,16,1363.310082
236.0,40,1380.893605
50.0,17,1393.807627
156.0,31,1409.592618
86.0,30,1425.218621
685.0,65,1447.958131
285.0,41,1465.755253
83.0,25,1480.270448
78.0,20,1493.781812
271.0,42,1511.790414
305.0,42,1529.853008
319.0,49,1549.292894
212.0,38,1566.471352
112.0,26,1581.283348
121.0,25,1595.850339
101.0,28,1611.035928
124.0,35,1627.710997
89.0,24,1642.083671
354.0,45,1660.718402
98.0,25,1675.246054
126.0,32,1691.230048
150.0,29,1706.59351
796.0,65,1729.303777
100.0,24,1743.671589
133.0,29,1759.039073
82.0,26,1773.778804
297.0,38,1791.055773
309.0,46,1809.864118
204.0,37,1826.895469
155.0,31,1842.66315
339.0,45,1861.266571
680.0,65,1883.9499
300.0,41,1901.7833
100.0,22,1915.717181
134.0,32,1931.736619
92.0,25,1946.27291
114.0,25,1960.804824
68.0,19,1974.155813
111.0,25,1988.698828
67.0,25,2003.265952
121.0,26,2018.061864
177.0,31,2033.841915
56.0,19,2047.177608
106.0,26,2061.913837
122.0,30,2077.462929
224.0,44,2095.902771
134.0,27,2110.881441
103.0,26,2125.640487
186.0,38,2142.834525
282.0,41,2160.686903
121.0,27,2175.655325
65.0,26,2190.425171
338.0,47,2209.47372
84.0,26,2224.222193
42.0,16,2236.983735
243.0,43,2255.168031
58.0,26,2269.937316
99.0,25,2284.527086
150.0,32,2300.557931
53.0,29,2315.934504
133.0,30,2331.527752
162.0,31,2347.304747
460.0,53,2367.537692
375.0,43,2385.745909
178.0,37,2402.729188
306.0,45,2421.344388
184.0,31,2437.111155
68.0,20,2450.638033
56.0,15,2463.142283
247.0,35,2479.716157
154.0,33,2495.877527
67.0,21,2509.627145
90.0,27,2524.57594
95.0,27,2539.493523
323.0,47,2558.510684
126.0,24,2572.847039
106.0,25,2587.412416
125.0,30,2602.967069
153.0,30,2618.504985
93.0,29,2633.888579
91.0,30,2649.439622
194.0,38,2666.604458
65.0,21,2680.352872
121.0,27,2695.291298
115.0,27,2710.262795
85.0,22,2724.222768
235.0,39,2741.65989
82.0,24,2756.008627
275.0,37,2772.987836
127.0,29,2788.386962
127.0,29,2803.807698
77.0,28,2818.95874
567.0,57,2839.965107
507.0,56,2860.777037
183.0,33,2876.940385
96.0,28,2892.130906
110.0,24,2906.470387
70.0,21,2920.249099
133.0,29,2935.594523
668.0,64,2958.153791
138.0,32,2974.128597
111.0,29,2989.564121
50.0,18,3002.673915
44.0,21,3016.391178
684.0,67,3039.504129
599.0,60,3061.161538
176.0,35,3077.744229
149.0,25,3092.322077
174.0,31,3108.148158
97.0,27,3123.168567
